Phase_Number,State,Constituency,Total_Electorate_Count,Poll_Percent,Total_Votes_Polled
5,West Bengal,Srerampur,1926645.0,76.44,1472793.0
5,West Bengal,Uluberia,1741438.0,79.78,1389316.0
6,Bihar,Gopalganj,2024673.0,52.32,1059298.0
6,Bihar,Maharajganj,1934937.0,52.27,1011421.0
6,Bihar,Paschim Champaran,1756078.0,61.62,1082178.0
6,Bihar,Purvi Champaran,1790761.0,59.68,1068642.0
6,Bihar,Sheohar,1832745.0,57.4,1052021.0
6,Bihar,Siwan,1896512.0,52.49,995416.0
6,Bihar,Vaishali,1869178.0,62.59,1170009.0
6,Bihar,Valmiki Nagar,1827281.0,60.19,1099781.0
6,Haryana,AMBALA,1996708.0,67.34,1344503.0
6,Haryana,BHIWANI- MAHENDRAGARH,1793029.0,65.39,1172526.0
6,Haryana,FARIDABAD,2430212.0,60.52,1470649.0
6,Haryana,GURGAON,2573411.0,62.03,1596240.0
6,Haryana,HISAR,1790722.0,65.27,1168784.0
6,Haryana,KARNAL,2104229.0,63.74,1341174.0
6,Haryana,KURUKSHETRA,1794300.0,67.01,1202401.0
6,Haryana,ROHTAK,1889844.0,65.68,1241201.0
6,Haryana,SIRSA,1937689.0,69.77,1351932.0
6,Haryana,SONIPAT,1766624.0,63.44,1120791.0
6,Jammu and Kashmir,ANANTNAG-RAJOURI,1836576.0,55.4,1017451.0
6,Jharkhand,Dhanbad,2285237.0,62.06,1418264.0
6,Jharkhand,Giridih,1864660.0,67.23,1253553.0
6,Jharkhand,Jamshedpur,1869278.0,67.68,1265169.0
6,Jharkhand,Ranchi,2197331.0,65.36,1436127.0
6,NCT OF Delhi,Chandni Chowk,1645958.0,58.6,964503.0
6,NCT OF Delhi,East Delhi,2120584.0,59.51,1261988.0
6,NCT OF Delhi,New Delhi,1525071.0,55.43,845285.0
6,NCT OF Delhi,North-East Delhi,2463159.0,62.89,1549202.0
6,NCT OF Delhi,North-West Delhi,2567423.0,57.85,1485378.0
6,NCT OF Delhi,South Delhi,2291764.0,56.45,1293598.0
6,NCT OF Delhi,West  Delhi,2587977.0,58.79,1521541.0
6,Odisha,Bhubaneswar,1672774.0,64.49,1078810.0
6,Odisha,Cuttack,1571622.0,71.2,1118918.0
6,Odisha,Dhenkanal,1529785.0,78.01,1193460.0
6,Odisha,Keonjhar,1588179.0,78.97,1254163.0
6,Odisha,Puri,1586465.0,75.43,1196684.0
6,Odisha,Sambalpur,1499728.0,79.5,1192226.0
6,Uttar Pradesh,Allahabad,1825730.0,51.82,946076.0
6,Uttar Pradesh,Ambedkar Nagar,1911297.0,61.58,1176920.0
6,Uttar Pradesh,Azamgarh,1868165.0,56.16,1049205.0
6,Uttar Pradesh,Basti,1902898.0,56.67,1078313.0
6,Uttar Pradesh,Bhadohi,2037925.0,53.07,1081465.0
6,Uttar Pradesh,Domariyaganj,1961845.0,51.97,1019548.0
6,Uttar Pradesh,Jaunpur,1977237.0,55.59,1099223.0
6,Uttar Pradesh,Lalganj,1838882.0,54.38,1000053.0
6,Uttar Pradesh,Machhlishahr,1940605.0,54.49,1057361.0
6,Uttar Pradesh,Phulpur,2067043.0,48.91,1010909.0
6,Uttar Pradesh,Pratapgarh,1833312.0,51.45,943245.0
6,Uttar Pradesh,Sant Kabir  Nagar,2071964.0,52.57,1089154.0
6,Uttar Pradesh,Shrawasti,1980381.0,52.83,1046253.0
6,Uttar Pradesh,Sultanpur,1852590.0,55.63,1030583.0
6,West  Bengal,Bankura,1780580.0,80.75,1437826.0
6,West  Bengal,Bishnupur,1754268.0,85.91,1507040.0
6,West  Bengal,Ghatal,1939945.0,82.17,1593990.0
6,West  Bengal,Jhargram,1779794.0,83.47,1485591.0
6,West  Bengal,Kanthi,1794537.0,84.77,1521159.0
6,West  Bengal,Medinipur,1811243.0,81.56,1477309.0
6,West  Bengal,Purulia,1823120.0,78.39,1429190.0
6,West  Bengal,Tamluk,1850741.0,84.79,1569233.0
7,Bihar,Arrah,2165574.0,50.27,1088685.0
7,Bihar,Buxar,1923164.0,55.39,1065290.0
7,Bihar,Jahanabad,1670327.0,55.09,920114.0
7,Bihar,Karakat,1881191.0,54.68,1028641.0
7,Bihar,Nalanda,2288240.0,49.78,1139006.0
7,Bihar,Patliputra,2073685.0,59.24,1228549.0
7,Bihar,Patna Sahib,2292045.0,46.85,1073847.0
7,Bihar,Sasaram,1910368.0,57.16,1091993.0
7,Chandigarh,Chandigarh,659805.0,67.98,448547.0
7,Himachal Pradesh,HAMIRPUR,1432636.0,71.56,1025237.0
7,Himachal Pradesh,KANGRA,1502514.0,67.89,1020026.0
7,Himachal Pradesh,MANDI,1364060.0,73.15,997833.0
7,Himachal Pradesh,SHIMLA,1346369.0,71.26,959445.0
7,Jharkhand,Dumka,1591061.0,73.87,1175294.0
7,Jharkhand,Godda,2028154.0,68.63,1391960.0
7,Jharkhand,Rajmahal,1704671.0,70.78,1206577.0
7,Odisha,Balasore,1608014.0,76.77,1234427.0
7,Odisha,Bhadrak,1770915.0,73.23,1296802.0
7,Odisha,Jagatsinghpur,1700814.0,75.48,1283700.0
7,Odisha,Jajpur,1545664.0,74.47,1151038.0
7,Odisha,Kendrapara,1792723.0,71.22,1276773.0
7,Odisha,Mayurbhanj,1542927.0,75.79,1169335.0
7,Punjab,Amritsar,1611263.0,56.06,903206.0
7,Punjab,Anandpur Sahib,1732211.0,61.98,1073572.0
7,Punjab,Bathinda,1651188.0,69.36,1145241.0
7,Punjab,Faridkot,1594033.0,63.34,1009637.0
7,Punjab,Fatehgarh Sahib,1552567.0,62.53,970783.0
7,Punjab,Firozpur,1670008.0,67.02,1119167.0
7,Punjab,Gurdaspur,1605204.0,66.67,1070267.0
7,Punjab,Hoshiarpur,1601826.0,58.86,942766.0
7,Punjab,Jalandhar,1654005.0,59.7,987508.0
7,Punjab,Khadoor Sahib,1667797.0,62.55,1043248.0
7,Punjab,Ludhiana,1758614.0,60.12,1057274.0
7,Punjab,Patiala,1806424.0,63.63,1149417.0
7,Punjab,Sangrur,1556601.0,64.63,1006048.0
7,Uttar Pradesh,Ballia,1923645.0,52.05,1001317.0
7,Uttar Pradesh,Bansgaon,1820854.0,51.79,943007.0
7,Uttar Pradesh,Chandauli,1843196.0,60.58,1116673.0
7,Uttar Pradesh,Deoria,1873821.0,55.51,1040178.0
7,Uttar Pradesh,Ghazipur,2074883.0,55.45,1150496.0
7,Uttar Pradesh,Ghosi,2083928.0,55.05,1147213.0
7,Uttar Pradesh,Gorakhpur,2097202.0,54.93,1152057.0
7,Uttar Pradesh,Kushi Nagar,1875222.0,57.57,1079573.0
7,Uttar Pradesh,Maharajganj,2004050.0,60.31,1208589.0
7,Uttar Pradesh,Mirzapur,1906327.0,57.92,1104186.0
7,Uttar Pradesh,Robertsganj,1779189.0,56.78,1010277.0
7,Uttar Pradesh,Salempur,1776982.0,51.38,913009.0
7,Uttar Pradesh,Varanasi,1997578.0,56.49,1128527.0
7,West Bengal,Barasat,1905400.0,80.17,1527620.0
7,West Bengal,Basirhat,1804261.0,84.31,1521154.0
7,West Bengal,Diamond harbour,1880779.0,81.04,1524138.0
7,West Bengal,Dum dum,1699656.0,73.81,1254452.0
7,West Bengal,Jadavpur,2033525.0,76.68,1559330.0
7,West Bengal,Joynagar,1844780.0,80.08,1477298.0
7,West Bengal,Kolkata Dakshin,1849520.0,66.95,1238256.0
7,West Bengal,Kolkata Uttar,1505356.0,63.59,957319.0
7,West Bengal,Mathurapur,1817068.0,82.02,1490299.0
